100 460
72 99 92 
-62 -25 33 
55 73 -2 
45 -87 15 
28 -24 -88 
-57 81 21 
44 -53 26 
-15 -84 87 
83 57 -1 
32 89 20 
38 22 84 
27 40 -50 
11 47 69 
-62 -99 50 
-56 -73 43 
-21 -28 33 
91 95 -26 
40 -79 35 
44 68 -89 
99 -81 -33 
33 23 99 
-4 9 -80 
91 64 86 
54 43 4 
34 -27 -5 
-94 -47 20 
8 58 71 
-93 15 -57 
-23 -8 7 
19 -11 -27 
-23 -49 -89 
21 82 -78 
50 -100 -48 
1 -96 28 
87 -99 75 
-94 -76 38 
-23 91 -64 
-24 13 -55 
-35 -9 81 
84 -47 98 
-56 -20 39 
-17 -19 -63 
66 -93 96 
-20 68 83 
-20 89 -100 
-75 -94 -32 
-10 32 -20 
-20 46 27 
88 80 83 
32 100 -85 
26 45 23 
-17 6 53 
49 -94 -43 
-26 -15 54 
-10 59 -85 
47 -66 -3 
-82 53 -49 
46 -69 -77 
-26 -85 93 
35 -71 68 
15 -66 -53 
-39 -61 -50 
29 51 -27 
2 26 -64 
58 37 35 
-97 46 31 
-63 -54 -23 
-50 -80 38 
35 -16 -1 
-58 97 70 
-53 -3 -28 
-6 -53 21 
93 66 70 
-27 -33 -56 
-72 10 60 
-57 45 -19 
3 -61 1 
52 24 -51 
-7 -8 -62 
97 16 -68 
75 -38 78 
1 7 42 
32 74 63 
79 32 75 
-6 27 71 
-34 45 41 
-55 -4 -41 
-83 84 39 
83 -99 76 
91 31 -68 
1 -62 -13 
11 55 -82 
6 -75 -26 
-7 -75 29 
89 -86 48 
19 69 -35 
72 -51 70 
-33 34 64 
68 97 54 
-85 -53 1 
-27 90 38 
39 -80 72 
10 -49 -21 
-6 -35 68 
-86 66 22 
-42 -66 83 
-71 89 -88 
-92 11 74 
62 -56 -38 
-10 -74 75 
-90 -91 -66 
56 47 67 
75 -71 90 
-98 10 74 
68 -14 -16 
-94 -92 -10 
-100 44 6 
-34 -40 -19 
-3 87 39 
-73 7 -79 
-26 49 77 
-52 55 -12 
81 62 39 
-31 -62 53 
-81 -99 -51 
31 38 -51 
