50 230
12 -41 -26 
-19 -10 28 
15 -14 -22 
-12 -36 35 
16 -34 38 
7 17 34 
-39 34 -35 
20 17 -47 
26 25 21 
1 31 -12 
-4 -5 27 
-31 -36 -16 
-40 49 43 
-22 7 50 
-9 -41 -45 
-6 -40 46 
8 7 -30 
-42 -14 20 
48 -37 26 
13 24 41 
-1 -20 8 
37 -25 42 
4 -42 16 
32 -14 -15 
50 -37 -10 
34 -26 -42 
-21 24 -30 
-29 -27 6 
24 -15 35 
-31 -7 -25 
-45 4 -7 
10 -28 -16 
-32 49 -8 
14 -46 41 
-38 39 13 
43 -48 -24 
-31 36 15 
25 37 -40 
-38 12 35 
29 -5 -18 
-33 32 48 
-25 20 44 
29 25 -18 
29 30 7 
48 -6 17 
-4 -21 2 
31 -35 44 
8 -45 6 
-21 19 -36 
50 -22 45 
-41 18 1 
-41 5 -38 
7 15 -31 
19 -38 44 
-13 -8 -28 
-31 -17 12 
-3 -25 -28 
28 34 -7 
41 -12 -11 
14 44 -30 
31 7 -10 
32 37 11 
31 26 -15 
-16 18 -45 
-50 -48 30 
-1 25 -37 
-40 -43 21 
18 -35 14 
13 40 -4 
-14 38 31 
-3 -5 -6 
-36 -16 43 
42 37 -5 
25 14 -31 
10 29 -32 
30 43 -44 
30 -24 9 
-45 -5 -44 
6 -46 33 
-16 6 28 
2 34 41 
-18 22 -21 
-35 32 -24 
-43 -9 -20 
23 1 -39 
-14 -17 33 
47 3 50 
19 32 34 
-30 5 11 
-12 -18 47 
-44 11 -45 
-50 8 -19 
-36 31 49 
31 -18 23 
26 50 -39 
39 -17 -41 
-18 -21 16 
-2 -1 -28 
-14 -25 31 
-47 -22 50 
33 50 -12 
-2 1 -39 
10 -22 -33 
-44 35 27 
46 -6 18 
-3 -16 -34 
-18 35 -15 
35 49 47 
43 -45 11 
5 -48 -25 
50 -26 35 
21 -28 -22 
3 -35 -20 
45 22 -20 
47 -11 35 
-13 -41 5 
-41 6 15 
-7 17 11 
18 40 26 
-12 -29 -23 
-36 -6 -49 
-17 46 10 
-49 -19 -36 
-29 22 28 
42 -18 32 
-3 -8 12 
-20 -10 -29 
18 50 -44 
23 -32 -7 
-33 44 26 
-4 -10 2 
19 -35 -40 
-8 -25 -16 
-25 -46 -10 
-8 -34 -40 
-9 -34 6 
16 28 -43 
50 -46 28 
-43 24 21 
-15 17 11 
33 46 31 
-39 38 27 
-7 -28 -13 
-17 8 -24 
18 -2 -6 
49 4 -46 
19 -42 43 
-8 -31 29 
6 16 36 
34 2 -41 
19 -17 48 
22 -10 -20 
39 -5 50 
-17 -37 32 
-31 -42 38 
48 -38 -41 
-18 -25 -38 
-12 -38 8 
14 24 -43 
46 33 -7 
-31 -32 -8 
-22 19 -27 
-14 -10 -12 
-17 39 -1 
8 -14 -50 
-35 33 -8 
3 -13 -16 
-2 -7 43 
-1 -49 -12 
7 49 -18 
26 41 -34 
-29 -41 14 
-20 -1 -49 
39 8 9 
-19 -37 1 
9 -39 -22 
40 -12 -26 
36 34 -43 
46 -30 -7 
26 -39 -13 
-33 25 -31 
20 44 12 
-15 12 45 
-12 -21 35 
-28 -45 10 
-46 40 44 
21 -9 -22 
9 -24 -1 
31 -48 45 
29 3 -27 
-12 21 -16 
28 -47 36 
-38 -34 -5 
-11 -28 -30 
11 -42 -16 
-37 27 -16 
-44 36 -38 
-43 46 -3 
35 -31 -34 
-30 -27 39 
-23 -7 29 
-46 17 -32 
9 34 -15 
7 38 47 
-4 -22 -26 
-24 41 9 
-19 -34 -32 
-27 43 -14 
-19 30 14 
-3 -38 -32 
-11 32 -30 
-48 6 50 
37 -22 48 
4 -18 23 
34 -9 42 
49 26 8 
33 35 -7 
-6 2 -32 
25 42 31 
-35 -20 -27 
-12 10 -3 
-2 -23 10 
-18 -20 38 
16 32 27 
12 -50 -36 
14 -4 39 
-38 46 4 
34 -23 -20 
-32 -46 20 
21 -7 -15 
